show_id;show_url;title;poster_url;rating;year;tags;duration_minutes;summary;director;starring;platforms
18547489;https://www.movieofthenight.com/show/18547489;14 Peaks: Nothing Is Impossible;https://image.tmdb.org/t/p/w1280/lRCAcwJeh93YHO3ghFBDf0Pj3w3.jpg;7,6;2021;Adventure, Documentary, Sport;101;In 2019, Nepalese mountain climber Nirmal “Nims” Purja set out to do the unthinkable by climbing the world’s fourteen highest summits in less than seven months. (The previous record was eight years). He called the effort “Project Possible 14/7” and saw it as a way to inspire others to strive for greater heights in any pursuit. The film follows his team as they seek to defy naysayers and push the limits of human endurance.;Torquil Jones;Nirmal Purja, Jimmy Chin, Reinhold Messner, Klára Kolouchová, Conrad Anker;Netflix
1910;https://www.movieofthenight.com/show/1910;True Romance;https://image.tmdb.org/t/p/w1280/1Uh8yuXlFcMDpVHWZJidjanT06e.jpg;7,8;1993;Crime, Romance;121;Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.;Tony Scott;Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer, Gary Oldman, Brad Pitt, Christopher Walken;Prime Video
2;https://www.movieofthenight.com/show/2;Game of Thrones;https://image.tmdb.org/t/p/w1280/zZqpAXxVSBtxV9qPBcscfXBcL2w.jpg;9;;Action, Adventure, Drama, Epic;;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.;;Peter Dinklage, Kit Harington, Nikolaj Coster-Waldau, Emilia Clarke, Maisie Williams, Isaac Hempstead Wright, Sophie Turner;"HBO Max; Prime Video"
2196;https://www.movieofthenight.com/show/2196;Basic Instinct;https://image.tmdb.org/t/p/w1280/7FRraud59N3s10bbf9bfYjvwx3v.jpg;7;1992;Mystery;128;Catherine, a novelist with an insatiable sexual appetite, becomes a prime suspect when her boyfriend is brutally murdered -- a crime she had described in her latest story.;Paul Verhoeven;Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Denis Arndt, Leilani Sarelle, Bruce A. Young;"Netflix; Prime Video"
2263;https://www.movieofthenight.com/show/2263;Paths of Glory;https://image.tmdb.org/t/p/w1280/eTZkq5tI58Ec76AwPf1HOUoKtky.jpg;8,3;1957;Drama, Epic, War;88;A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.;Stanley Kubrick;Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris, Richard Anderson, Joe Turkel;"Apple; Prime Video"
227;https://www.movieofthenight.com/show/227;The Intouchables;https://image.tmdb.org/t/p/w1280/q6OGlZ1KMEb14AC8KbPCxyNOal6.jpg;8,4;2011;Comedy, Drama;113;A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.;;François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Joséphine de Meaux, Clotilde Mollet, Alba Gaïa Bellugi;"Apple; Prime Video"
2342;https://www.movieofthenight.com/show/2342;Falling Down;https://image.tmdb.org/t/p/w1280/cS45swrlrTJijH1RblBLe8LlW2p.jpg;7,4;1993;Crime, Drama, Thriller;113;An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.;Joel Schumacher;Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin, Tuesday Weld, Frederic Forrest, Lois Smith;"Apple; Prime Video"
249;https://www.movieofthenight.com/show/249;The Pianist;https://image.tmdb.org/t/p/w1280/1XqIhsqnAozznGhxlGdI0GPcCro.jpg;8,4;2002;Drama, Epic, Music;150;"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.";Roman Polanski;Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Julia Rayner;Prime Video
2273;https://www.movieofthenight.com/show/2273;The Next Three Days;https://image.tmdb.org/t/p/w1280/kkuykQHWWTcmJ9yerrLF9elCtkc.jpg;7,2;2010;Action, Crime, Drama;133;A married couple's life is turned upside down when the wife is accused of murdering her boss. Her husband John would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. When the strain of being separated from her husband and son gets to her, John decides to find a way to break her out.;Paul Haggis;Russell Crowe, Elizabeth Banks, Brian Dennehy, RZA, Moran Atias, Olivia Wilde, Jason Beghe;"Apple; Prime Video"
2546;https://www.movieofthenight.com/show/2546;Incendies;https://image.tmdb.org/t/p/w1280/f3ATwil5vmUeTsogBaMEKbBYBth.jpg;8,2;2010;Drama, Mystery, War;131;A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.;Denis Villeneuve;Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Rémy Girard, Allen Altman, Abdelghafour Elaaziz, Dominique Briand;"Mubi; Prime Video"
